Projektereignisse||||||||
||||||||
Ereignis-ID|Projekt-ID|Name|Beschreibung|Datum|location|lng|lat|Medien
PE##|P##|Name des Ereignisses, nicht des Projekts||TT.MM.JJJJ|Stadt, kein Bundesland|||Liste mit ID aus Tabelle „Medien“
PE01|P01|Erste Aufnahme|Aufnahme der ersten 21 Stipendiatinnen und Stipendiaten, ausschließlich an Fachhochschulen in den neuen Bundesländern.|01.01.1995|Berlin, Stralsund, Brandenburg (Havel), Erfurt, Dresden|52.52; 54.312; 52.413; 50.986; 51.05|13.4; 13.09; 12.552; 11.022; 13.739|
PE02|P01|Namensgebung|Das Studienförderwerk erhält den Namen „Studienförderwerk Klaus Murmann“.|01.01.1997|Berlin|52.52|13.4|
PE03|P01|Gründung Alumni-Verein|Der Alumni-Verein des Studienförderwerks Klaus Murmann wird ins Leben gerufen. Auszug aus der Satzung:<br/><i>1. Multiplikation der Stiftungsidee der Stiftung der Deutschen Wirtschaft und Einbringen dieser in das eigene Lebens- und Arbeitsumfeld.<br/>2. Aufrechterhaltung und Ausbau des Netzwerks zwischen den Alumni.<br/>3. Weitergabe der während der eigenen Förderzeit erhaltenen Unterstützung an die aktuelle Stipendiatengeneration.</i>|01.01.1999|Berlin|52.52|13.4|M107
PE04|P01|Dialogforum|Mit dem „Dialogforum Stipendiaten &ndash; Unternehmen“ etabliert das Studienförderwerk Klaus Murmann ein erfolgreiches Seminarformat, das bis heute fester Bestandteil im Veranstaltungskalender ist.|01.09.2000|Potsdam|52.401|13.049|
PE05|P01|„deutschlanders“|"Ein Projektwettbewerbsteam des Studienförderwerks Klaus Murmann stellt unter dem Motto ""deutschlanders"" eine zweitägige Diskussionsveranstaltung mit vielen Prominenten auf die Beine. Über die Frage „welche Vision braucht Deutschland?“ diskutieren im Haus der Deutschen Wirtschaft (nach ihren damaligen Funktionen): Klaus Uwe Benneter (SPD), Martin Kannegiesser (Arbeitgeberverband Gesamtmetall), Michael Sommer (DGB), Prof. Dr. Andreas Pinkwart (FDP), Krista Sager (Bündnis 90/DIE GRÜNEN), Hermann-Josef Arentz (CDU), Gregor Gysi (PDS) und der Publizist Oswald Metzger."|08.10.2004|Berlin|52.52|13.4|M198,M199
PE06|P01|Erste sdWM|Im Jahr des „Sommermärchens“, veranstalteten das Studienförderwerk Klaus Murmann und der Alumni-Verein die 1. „sdWM“, ein großes Fußballturnier. Heute ist sie fester jährlicher Bestandteil des Veranstaltungskalenders.|10.06.2006|Leipzig|51.339|12.377|M47
PE07|P01|FH-Kampagne|Ein neuer Werbefilm des Studienförderwerks Klaus Murmann richtet sich speziell an Fachhochschulstudierende. Der Film soll FH-Studierende dazu ermuntern, sich um ein Stipendium der sdw zu bewerben.|01.12.2012|Berlin|52.52|13.4|M170
PE08|P16|Kongress „Initiative Leadership“|Gemeinsam mit der Robert Bosch Stiftung lädt das Studienkolleg der sdw im Rahmen ihrer Initiative Leadership in der Lehrerbildung im November 2013 zum Kongress. Zu den Rednern und Diskutanten gehörten u. a. Sylvia Löhrmann, Ministerin für Schule und Weiterbildung des Landes Nordrhein-Westfalen, und der Bundesminister der Verteidigung Dr. Thomas de Maizière. |21.11.2013|Berlin|52.52|13.4|M182,M181,M183,M184,M185,M186,M187,M188
PE09|P16|Neuer Film|Ein neuer Film des Studienkollegs zu den Kompetenzen für pädagogische Führung wird veröffentlicht.|26.02.2014|Berlin|52.52|13.4|M65
PE10|P17|Aufnahmeveranstaltung|Aufnahmeveranstaltung in Berlin mit Dr. Josef Ackermann, ehemaliger Vorsitzender des Vorstands der Deutsche Bank AG (2. v. r.), dem damaligen Arbeitgeberpräsidenten Dr. Dieter Hundt (4. v. r.), Ex-sdw-Generalsekretär Hans-Jürgen Brackmann (5. v. r.) und Dr. Stephan Scholtissek, ehemals Vorstand der Accenture-Stiftung (7. v. r.)|15.09.2007|Berlin|52.52|13.4|M70
PE11|P17|Gründung Alumni-Verein Ask e.V.|Die Absolventen des Studienkompass gründen den Alumni-Verein Ask e. V.|01.10.2011|Frankfurt (Main)|50.117|8.683|M214
PE12|P17|2.000 mal Zukunft|Fünf Studienkompass-Alumni stellen eine große und prominent besetzte Veranstaltung auf die Beine: Unter dem Titel „2.000 mal Zukunft“ diskutieren Experten über bestehende Hürden, Möglichkeiten für mehr Chancengerechtigkeit und Unterstützungsangebote auf dem Weg an die Uni. Diskutanten sind u. a. Prof. Jutta Allmendinger Ph.D. (Präsidentin des Wissenschaftszentrums Berlin), Michael Kretschmer (Stellv. Vorsitzender der CDU/CSU-Bundestagsfraktion), Marlehn Thieme (Vorsitzende des Rates für Nachhaltige Entwicklung) und Prof. Dr. Dieter Timmermann (Präsident des Deutschen Studentenwerks). |26.06.2013|Berlin|52.52|13.4|M178,M179
